"region","date","value"
"Martin County,FL","23",0
"Sumter County,FL","23",0
"Hernando County,FL","23",0
"Collier County,FL","23",0.0303030303030303
"Lee County,FL","23",0.036697247706422
"Bay County,FL","23",0
"Indian River County,FL","23",0
"Marion County,FL","23",0
"St. Lucie County,FL","23",0
"Seminole County,FL","23",0
"Charlotte County,FL","23",0.0219298245614035
"Citrus County,FL","23",0
"Brevard County,FL","23",0.0391959798994975
"Sarasota County,FL","23",0.44
"Manatee County,FL","23",0
"Polk County,FL","23",0
"Nassau County,FL","23",0
"NULL,FL","23",0
"Flagler County,FL","23",0
"Lake County,FL","23",0
"Hillsborough County,FL","24",0.0160642570281124
"Duval County,FL","24",0.209677419354839
"Clay County,FL","24",0.266666666666667
"Columbia County,FL","24",0.235668789808917
"Pinellas County,FL","24",0.00956937799043062
"Pasco County,FL","24",0.206349206349206
"Osceola County,FL","24",0.494252873563218
"Orange County,FL","24",0.400900900900901
"Putnam County,FL","24",NA
"Alachua County,FL","24",0.114285714285714
"Volusia County,FL","24",0.261538461538462
"Leon County,FL","24",0.0540540540540541
"St. Johns County,FL","24",0.209090909090909
"Miami-Dade County,FL","24",0.704119850187266
"Palm Beach County,FL","24",0.47887323943662
"Broward County,FL","24",0.0454545454545455
"Martin County,FL","24",0
"Sumter County,FL","24",0
"Hernando County,FL","24",0
"Collier County,FL","24",0.325757575757576
"Lee County,FL","24",0.344036697247706
"Bay County,FL","24",0
"Indian River County,FL","24",0
"Marion County,FL","24",0
"St. Lucie County,FL","24",0
"Seminole County,FL","24",0.00775193798449612
"Charlotte County,FL","24",0.245614035087719
"Citrus County,FL","24",0
"Brevard County,FL","24",0.0482412060301508
"Sarasota County,FL","24",0.373333333333333
"Manatee County,FL","24",0.7
"Polk County,FL","24",0.0695652173913043
"Nassau County,FL","24",0.225806451612903
"NULL,FL","24",0
"Flagler County,FL","24",0
"Lake County,FL","24",0
"Hillsborough County,FL","25",0.265060240963855
"Duval County,FL","25",0.209677419354839
"Clay County,FL","25",1
"Columbia County,FL","25",0.343949044585987
"Pinellas County,FL","25",0.354066985645933
"Pasco County,FL","25",0.650793650793651
"Osceola County,FL","25",0.419540229885057
"Orange County,FL","25",0.468468468468468
"Putnam County,FL","25",NA
"Alachua County,FL","25",0.114285714285714
"Volusia County,FL","25",0.646153846153846
"Leon County,FL","25",0.0540540540540541
"St. Johns County,FL","25",0.181818181818182
"Miami-Dade County,FL","25",0.853932584269663
"Palm Beach County,FL","25",0.535211267605634
"Broward County,FL","25",0.272727272727273
"Martin County,FL","25",0
"Sumter County,FL","25",0
