"zips","lon","lat"
"78542",-98.1120116,26.3546817
"78572",-98.3745717,26.1988865
"78573",-98.2978951,26.308858
"78577",-98.1884949,26.1509653
"78596",-97.991986,26.1385465
"78602",-97.3084571,30.0942405
"78613",-97.8177601,30.5119418
"78626",-97.633113,30.6487339
"78628",-97.7634019,30.6410107
"78633",-97.7525352,30.7216604
"78640",-97.8068851,29.9966514
"78653",-97.5463885,30.3332225
"78654",-98.1994276,30.5684965
"78664",-97.6602365,30.5041381
"78665",-97.6222665,30.5464236
"78681",-97.7090854,30.5184228
"78720",-97.7562844,30.4233211
"78723",-97.681943,30.3081307
"78734",-97.9483898,30.3666665
"78741",-97.7145152,30.2259488
"78745",-97.7960118,30.2153869
"78746",-97.8299383,30.2962208
"78748",-97.8177601,30.168207
"78749",-97.8558357,30.2175453
"78754",-97.6493858,30.3558863
"78758",-97.7036561,30.3870686
"79015",-101.9348069,34.9320346
"79041",-101.9348069,34.0581257
"79072",-101.7523854,34.1636756
"79106",-101.8948754,35.2018872
"79109",-101.900579,35.1633874
"79119",-102.0032957,35.120627
"79124",-101.9576317,35.2552151
"79235",-101.207047,33.9513162
"79415",-101.9119871,33.6863649
"79423",-101.866362,33.4258874
"79601",-99.6786894,32.5700066
"79606",-99.8348146,32.3560371
"79772",-103.6362715,31.3511246
"80002",-105.0849687,39.7907566
"80013",-104.7637619,39.6563415
"80015",-104.7812654,39.6288155
"80020",-105.0674317,39.9389199
"80134",-104.7754307,39.4626087
"80228",-105.1609838,39.6849237
"80229",-104.9564084,39.8580556
"80401",-105.2311827,39.7158773
"80501",-105.1142011,40.1733277
"80634",-104.7871004,40.3962637
"80906",-104.8804893,38.7665005
"82001",-104.8201078,41.1400096
"84020",-111.8687825,40.4960215
"84088",-111.9641728,40.5934061
"84102",-111.8658015,40.76049
"84105",-111.8628205,40.7345053
"84111",-111.8836874,40.7569389
"84121",-111.8171374,40.6210656
"84124",-111.7912764,40.6712875
"84404",-112.1907122,41.3270903
"84790",-113.5490415,37.0441957
"85008",-112.0118669,33.4660406
"85015",-112.1012912,33.5079722
"85016",-112.029752,33.5106684
"85017",-112.1251372,33.514162
"85018",NA,NA
"85021",NA,NA
"85022",NA,NA
"85031",NA,NA
"85032",NA,NA
"85033",NA,NA
"85035",NA,NA
"85042-6510",NA,NA
"85050",NA,NA
"85120",NA,NA
"85122",NA,NA
"85132",NA,NA
"85201",NA,NA
"85204",NA,NA
"85206",NA,NA
"85209",NA,NA
"85213",NA,NA
"85215",NA,NA
"85224",NA,NA
"85226",NA,NA
"85248",NA,NA
"85254",NA,NA
"85257",NA,NA
"85260",NA,NA
"85281",NA,NA
"85282",NA,NA
"85284",NA,NA
"85295",NA,NA
"85302",NA,NA
"85305",NA,NA
"85306",NA,NA
"85308",NA,NA
"85310",NA,NA
"85351",NA,NA
"85353",NA,NA
"85374",NA,NA
"85378",NA,NA
"85382",NA,NA
"85392",NA,NA
"85395",NA,NA
"85705",NA,NA
